ville,abbr,pays,latitude,longitude,timestamp_utc,date_utc,heure_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Paris,PAR,FR,48.8566,2.3522,2025-08-02T14:00:00Z,2025-08-02,14:00,2,133.24,0.07,0.53,76.67,0.18,1.07,1.49,1.04
Paris,PAR,FR,48.8566,2.3522,2025-08-02T15:00:00Z,2025-08-02,15:00,2,132.7,0.07,0.58,76.87,0.17,1.08,1.46,1.13
Paris,PAR,FR,48.8566,2.3522,2025-08-02T16:00:00Z,2025-08-02,16:00,2,133.09,0.07,0.68,77.0,0.16,1.11,1.43,1.25
Paris,PAR,FR,48.8566,2.3522,2025-08-02T17:00:00Z,2025-08-02,17:00,2,133.35,0.06,0.79,76.66,0.16,1.14,1.44,1.44
Paris,PAR,FR,48.8566,2.3522,2025-08-02T18:00:00Z,2025-08-02,18:00,2,133.61,0.04,0.91,76.32,0.18,1.21,1.49,1.66
Paris,PAR,FR,48.8566,2.3522,2025-08-02T19:00:00Z,2025-08-02,19:00,2,133.25,0.02,1.27,71.42,0.21,1.32,1.63,2.31
Paris,PAR,FR,48.8566,2.3522,2025-08-02T20:00:00Z,2025-08-02,20:00,2,132.82,0.0,1.75,64.2,0.23,1.48,1.87,3.27
Paris,PAR,FR,48.8566,2.3522,2025-08-02T21:00:00Z,2025-08-02,21:00,1,132.48,0.0,2.15,58.94,0.25,1.64,2.14,4.05
Paris,PAR,FR,48.8566,2.3522,2025-08-02T22:00:00Z,2025-08-02,22:00,1,131.12,0.0,2.5,53.41,0.24,1.78,2.41,4.55
Paris,PAR,FR,48.8566,2.3522,2025-08-02T23:00:00Z,2025-08-02,23:00,1,131.84,0.0,2.62,49.35,0.21,1.95,2.72,4.56
Paris,PAR,FR,48.8566,2.3522,2025-08-03T00:00:00Z,2025-08-03,00:00,1,133.74,0.0,2.61,47.48,0.22,2.14,3.13,3.81
